Tile,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,QA60
20250819T030529_20250819T031530_T50SKC,2067,1802,1708,1452,1873,3233,4290,4232,4458,11813,1872,1264,2048
20250824T030601_20250824T031033_T50SKC,7068,7144,7084,7168,7106,7219,7256,7264,7718,9744,4747,3721,1024
20250826T031151_20250826T031150_T50SKC,8529,8216,7792,7600,7919,8093,8444,8192,8687,12477,7612,6457,1024
20250829T030529_20250829T031554_T50SKC,181,208,468,257,749,2796,4314,4131,4736,4388,1789,784,0
20250903T030601_20250903T031009_T50SKC,8582,8184,8256,8264,8514,8858,8986,9008,9178,5246,2878,2828,1024
20250908T030519_20250908T031809_T50SKC,8765,9056,8952,8920,9364,9049,8907,9152,8643,13801,1584,1680,1024
20250913T030541_20250913T030854_T50SKC,14475,12064,10752,9968,10675,9959,9601,9008,9336,16717,7162,5929,1024
20250915T031151_20250915T031148_T50SKC,8831,8664,7656,6820,6543,6106,6109,6012,6067,11919,3960,2977,1024
20250918T030519_20250918T031521_T50SKC,8516,8904,8992,9048,9242,8995,9032,9368,8873,14514,2164,2304,1024
20250923T030541_20250923T031434_T50SKC,9799,9984,10304,10616,10747,10425,10208,10336,10368,14327,6188,4786,1024
