ꜥẖm,0x1314C 0x1314E 0x13CC4 0x13CCA
spd(.w),0x1314F
mw.t,0x138DE 0x138E1 0x13150 0x13151 0x13D05
nb.ty,0x13152 0x14389
mm,0x13154
m-ꜥ,0x13156
mr,0x13C2E 0x13C2F 0x13157 0x13218 0x13274 0x13338 0x1333B 0x14294 0x1334C 0x142BA
(ꞽm.y-r),0x13C2E 0x13C2F 0x13157
nḥ,0x13158 0x13CF1 0x13CF2 0x13CF4 0x13CF3
ḏb,0x13159 0x13CD3 0x13C29
rḫ.yt,0x134F4 0x1315A 0x13CF7 0x1315B 0x13CFA 0x13CFB 0x13CF8
ꜣḫ,0x1315C 0x13C4D 0x13D1E 0x13D1D 0x13E76
hb,0x1315E 0x1429C 0x1429F 0x1429D
dšr,0x1315F
gm,0x13160 0x13C46 0x13C2B 0x13C33
bꜣ.w,0x13A68 0x13162 0x13C3A 0x13C4B 0x13C4C
bnw,0x13163 0x13C59
bꜥḥ,0x13164 0x13C51 0x13C55 0x13C54 0x13C56
sdꜣ,0x13165 0x13C0E
nꞽw,0x13166 0x13C0B 0x13D32
ꜥḳ,0x13167 0x13C31 0x13D55 0x13D56
ꞽsf.t,0x1316A
gb,0x1316C 0x13D2E
sꜣ,0x13636 0x134D9 0x13638 0x13612 0x13795 0x1316D 0x13187 0x13382 0x1432B 0x1432C 0x1432A 0x13383 0x1432E 0x1432D 0x13384 0x1341F 0x14221 0x14222 0x14220
pꜣ,0x1316E 0x13C18 0x143F0
ḫn,0x1363B 0x1316F 0x13C1B
ḏfꜣ,0x13170 0x13C25 0x13194
w,0x13720 0x13793 0x13171 0x13D2C 0x141D8 0x142B5 0x133F2
tw,0x13172
ww,0x13173
wꜥ,0x13174 0x13321 0x14241 0x14246 0x14243 0x14247 0x14245 0x14248 0x133FA 0x13404
dꞽw,0x13175 0x133FE 0x13403 0x13408
mꜣw,0x13176
ṯꜣ,0x13177 0x13CAF 0x13CB0 0x13C66 0x13CE1
šš,0x13178
rḫ.ty,0x1317A
ḥꜣm,0x1317B 0x13C45
snm,0x134F1 0x1317C
snḏ,0x1317E
ꜣpd,0x13C49 0x1317F 0x143C4
wšm,0x13180
pꜣḳ,0x13181
rmṯ,0x13610 0x13182
ḏnḥ,0x13183
šw,0x13794 0x13184 0x13185
ꞽꜣf.t,0x13186
ꜥšꜣ,0x13188
štw,0x13189
ꜣd,0x1318A
sbk,0x13851 0x1318B 0x13D42 0x1318D 0x13D33 0x13D40 0x13D45 0x13D35
sꜣḳ,0x1318C 0x13D41
km,0x1318E 0x13D4D 0x13D4C 0x13D4E
ḥḳ.t,0x13918 0x1318F 0x13D52
ḥfn,0x13190 0x13D53
prꞽ,0x13A17 0x13192 0x13D57 0x13D62 0x13D58 0x13D64 0x13DE6 0x13DE7 0x13DE5 0x13EEA
ḏ,0x13193
ḏḏ,0x13195
ḏ.t,0x13196 0x13D68 0x13D6F 0x13D67
nbw.t,0x13197
wꜣḏ.t,0x13198 0x13D88 0x13D92 0x13E6C 0x13E6D 0x13E6E 0x1323F 0x13240
ḳꜣb,0x13199
ꞽꜥr.t,0x1319A
bw,0x1319C
rm,0x13988 0x1319D 0x13DCC
ẖꜣ,0x1319E 0x13DD3 0x13DD5 0x13DCD
nšm.t,0x131A0 0x14032 0x14045
špt,0x131A1 0x13DDC 0x13DDD 0x13DDF
nꜥr,0x131A2
ḫpr,0x131A3 0x13DE1
n(.y)-sw.t-bꞽ.ty,0x13AD0 0x131A5 0x13ED4 0x13ED6 0x13ED8 0x13ED5 0x13ED7 0x13ED9 0x13EED 0x13EEE 0x13EDA
snḥm,0x131A7
spꜣ,0x13C15 0x131A8 0x140A0
ḫꜣ,0x1358A 0x139DA 0x131A9 0x131BC 0x13E5C 0x13E5D 0x13E5F 0x13E60 0x13E62 0x13E64 0x13279
